BeverageId	name	info	imagePath	hasCool	hasHot	remark	Category_id	Shop_id
F29	仙草奶凍	仙草奶凍人間極品	TeaTop/仙草奶凍.png	TRUE	TRUE		CM	F
F30	紅茶拿鐵	紅茶拿鐵好喝推推	TeaTop/紅茶拿鐵.png	TRUE	TRUE		CM	F
F31	珍珠拿鐵	珍珠拿鐵人間極品	TeaTop/珍珠拿鐵.png	TRUE	TRUE		CM	F
F32	黑糖拿鐵	黑糖拿鐵好喝推推	TeaTop/黑糖拿鐵.png	TRUE	TRUE		CM	F
F33	奶蓋鐵觀音	奶蓋鐵觀音人間極品	TeaTop/奶蓋鐵觀音.png	TRUE	TRUE		CM	F
F34	奶蓋青茶	奶蓋青茶好喝推推	TeaTop/奶蓋青茶.png	TRUE	TRUE		CM	F
F35	抹茶拿鐵	抹茶拿鐵人間極品	TeaTop/抹茶拿鐵.png	TRUE	TRUE		CM	F
F36	珍珠抹茶拿鐵	珍珠抹茶拿鐵好喝推推	TeaTop/珍珠抹茶拿鐵.png	TRUE	TRUE		CM	F
F37	紅豆抹茶拿鐵	紅豆抹茶拿鐵人間極品	TeaTop/紅豆抹茶拿鐵.png	TRUE	TRUE		CM	F
F38	芋頭鮮奶	芋頭鮮奶好喝推推	TeaTop/芋頭鮮奶.png	TRUE	TRUE		CM	F
F39	紅豆鮮奶	紅豆鮮奶人間極品	TeaTop/紅豆鮮奶.png	TRUE	TRUE		CM	F
F40	可可亞鮮奶	可可亞鮮奶好喝推推	TeaTop/可可亞鮮奶.png	TRUE	TRUE		CM	F
F41	靚奶茶	靚奶茶人間極品	TeaTop/靚奶茶.png	TRUE	TRUE		CM	F
F42	大吉嶺奶茶	大吉嶺奶茶好喝推推	TeaTop/大吉嶺奶茶.png	TRUE	TRUE		CM	F
F43	鐵觀音奶茶	鐵觀音奶茶人間極品	TeaTop/鐵觀音奶茶.png	TRUE	TRUE		CM	F
F44	抹茶奶綠	抹茶奶綠好喝推推	TeaTop/抹茶奶綠.png	TRUE	TRUE		CG	F
F45	綠豆星沙	綠豆星沙人間極品	TeaTop/綠豆星沙.png	TRUE	FALSE		CG	F
F46	綠豆星沙牛奶	綠豆星沙牛奶好喝推推	TeaTop/綠豆星沙牛奶.png	TRUE	FALSE		CG	F
F47	抹茶冰沙	抹茶冰沙人間極品	TeaTop/抹茶冰沙.png	TRUE	FALSE		CG	F
F48	鳳梨冰沙	鳳梨冰沙好喝推推	TeaTop/鳳梨冰沙.png	TRUE	FALSE		CX	F
F49	百香冰沙	百香冰沙人間極品	TeaTop/百香冰沙.png	TRUE	FALSE		CX	F
F50	冷泡桂花茶	冷泡桂花茶好喝推推	TeaTop/冷泡桂花茶.png	TRUE	FALSE		CX	F
F51	冷泡梨山茶	冷泡梨山茶人間極品	TeaTop/冷泡梨山茶.png	TRUE	FALSE		CX	F
F52	黑糖薑茶	黑糖薑茶好喝推推	TeaTop/黑糖薑茶.png	FALSE	TRUE		CX	F
F53	黑糖桂圓薑茶	黑糖桂圓薑茶人間極品	TeaTop/黑糖桂圓薑茶.png	FALSE	TRUE		CX	F
F54	桂圓奶茶	桂圓奶茶好喝推推	TeaTop/桂圓奶茶.png	FALSE	TRUE		CM	F
F55	薑汁奶茶	薑汁奶茶人間極品	TeaTop/薑汁奶茶.png	FALSE	TRUE		CM	F
F56	檸檬紅茶	檸檬紅茶好喝推推	TeaTop/檸檬紅茶.png	TRUE	FALSE		CB	F
F57	鮮榨檸檬汁	鮮榨檸檬汁人間極品	TeaTop/鮮榨檸檬汁.png	TRUE	FALSE		CF	F
F58	冬瓜檸檬	冬瓜檸檬好喝推推	TeaTop/冬瓜檸檬.png	TRUE	FALSE		CE	F
F59	百香雙Q	百香雙Q人間極品	TeaTop/百香雙Q.png	TRUE	FALSE		CF	F
F60	金桔檸檬	金桔檸檬好喝推推	TeaTop/金桔檸檬.png	TRUE	FALSE		CF	F
F61	蘋果冰醋	蘋果冰醋人間極品	TeaTop/蘋果冰醋.png	TRUE	FALSE		CF	F
F62	寒天蘋果醋	寒天蘋果醋好喝推推	TeaTop/寒天蘋果醋.png	TRUE	FALSE		CF	F
F63	翡翠檸檬	翡翠檸檬人間極品	TeaTop/翡翠檸檬.png	TRUE	FALSE		CF	F
F64	香吉士綠茶	香吉士綠茶好喝推推	TeaTop/香吉士綠茶.png	TRUE	FALSE		CG	F
F65	仙柚綠	仙柚綠人間極品	TeaTop/仙柚綠.png	TRUE	FALSE		CG	F
F66	蕃茄蜜	蕃茄蜜好喝推推	TeaTop/蕃茄蜜.png	TRUE	FALSE		CX	F
F67	新鮮水果茶	新鮮水果茶人間極品	TeaTop/新鮮水果茶.png	TRUE	TRUE		CF	F
F68	鳳梨綠茶	鳳梨綠茶好喝推推	TeaTop/鳳梨綠茶.png	TRUE	FALSE		CG	F
F69	鳳梨金萱	鳳梨金萱人間極品	TeaTop/鳳梨金萱.png	TRUE	FALSE		CF	F
F70	桔香小紫蘇	桔香小紫蘇好喝推推	TeaTop/桔香小紫蘇.png	TRUE	FALSE		CX	F
F71	芭樂香吉士	芭樂香吉士人間極品	TeaTop/芭樂香吉士.png	TRUE	FALSE		CF	F
F72	芭樂百香果	芭樂百香果好喝推推	TeaTop/芭樂百香果.png	TRUE	FALSE		CF	F
F73	芭樂火龍裸	芭樂火龍裸人間極品	TeaTop/芭樂火龍裸.png	TRUE	FALSE		CF	F
F74	熟成紅茶	熟成紅茶好喝推推	TeaTop/熟成紅茶.png	TRUE	FALSE		CB	F
F75	熟成果香紅茶	熟成果香紅茶人間極品	TeaTop/熟成果香紅茶.png	TRUE	FALSE		CB	F
F76	熟成鮮奶茶	熟成鮮奶茶好喝推推	TeaTop/熟成鮮奶茶.png	TRUE	TRUE		CM	F
F77	泰泰鮮奶茶	泰泰鮮奶茶人間極品	TeaTop/泰泰鮮奶茶.png	TRUE	TRUE		CM	F
F78	珍珠泰泰鮮奶茶	珍珠泰泰鮮奶茶好喝推推	TeaTop/珍珠泰泰鮮奶茶.png	TRUE	TRUE		CM	F
