BeverageId,name,info,imagePath,hasCold,hasHot,remark,Category,Shop
G22,翡翠鮮奶,翡翠鮮奶好喝推推,一芳/翡翠鮮奶.png,t,t, ,CM,G
G23,烏龍鮮奶,烏龍鮮奶人間極品,一芳/烏龍鮮奶.png,t,t, ,CO,G
G24,粉圓鮮奶茶,粉圓鮮奶茶好喝推推,一芳/粉圓鮮奶茶.png,t,t, ,CM,G
G25,黑糖粉圓鮮奶,黑糖粉圓鮮奶人間極品,一芳/黑糖粉圓鮮奶.png,t,t, ,CM,G
G26,黑糖粉圓鮮奶茶,黑糖粉圓鮮奶茶好喝推推,一芳/黑糖粉圓鮮奶茶.png,t,t, ,CM,G
G27,古煞仙草茶,古煞仙草茶人間極品,一芳/古煞仙草茶.png,t,t, ,CX,G
G28,古釀冬瓜茶,古釀冬瓜茶好喝推推,一芳/古釀冬瓜茶.png,t,t, ,CE,G
G29,鹿港麵茶,鹿港麵茶人間極品,一芳/鹿港麵茶.png,t,t, ,CX,G
G30,鹿野薑茶,鹿野薑茶好喝推推,一芳/鹿野薑茶.png,t,t, ,CX,G
G31,薑汁檸檬,薑汁檸檬人間極品,一芳/薑汁檸檬.png,t,t, ,CX,G
G32,薑汁桂圓,薑汁桂圓好喝推推,一芳/薑汁桂圓.png,t,t, ,CX,G
G33,桂圓紅棗茶,桂圓紅棗茶人間極品,一芳/桂圓紅棗茶.png,t,t, ,CX,G
G34,大甲芋頭鮮奶,大甲芋頭鮮奶好喝推推,一芳/大甲芋頭鮮奶.png,t,t, ,CM,G
G35,大甲芋頭鮮奶綠,大甲芋頭鮮奶綠人間極品,一芳/大甲芋頭鮮奶綠.png,t,t, ,CG,G
G36,台灣甘蔗牛奶,台灣甘蔗牛奶好喝推推,一芳/台灣甘蔗牛奶.png,t,t, ,CM,G
G37,台灣甘蔗青茶,台灣甘蔗青茶人間極品,一芳/台灣甘蔗青茶.png,t,t, ,CR,G
H01,原鄉四季,原鄉四季好喝推推,清心福全/原鄉四季.png,t,t, ,CX,H
H02,特級綠茶,特級綠茶人間極品,清心福全/特級綠茶.png,t,t, ,CG,H
H03,烏龍綠茶,烏龍綠茶好喝推推,清心福全/烏龍綠茶.png,t,t, ,CG,H
H04,翡翠烏龍,翡翠烏龍人間極品,清心福全/翡翠烏龍.png,t,t, ,CO,H
