ShopId,shopName,info,logoPath,imagePath,remark
A,50嵐,123,Shop/50嵐_Logo.png,Shop/50嵐.png,
B,CoCo,123,Shop/CoCo_Logo.png,Shop/CoCo.png,
C,COMEBUY,123,Shop/COMEBUY_Logo.png,Shop/COMEBUY.png,
D,迷客夏,123,Shop/迷客夏_Logo.png,Shop/迷客夏.png,加料：珍珠、紅豆、布丁、仙草凍+10元
E,茶湯會,123,Shop/茶湯會_Logo.png,Shop/茶湯會.png,
F,Tea Top,123,Shop/Tea Top_Logo.png,Shop/Tea Top.png,"加料：珍珠、椰果、仙草、西米露+５元
　　　芋園、紅豆、冰淇淋、黑糖珍珠+10元
　　　布丁+15元"
G,一芳,123,Shop/一芳_Logo.png,Shop/一芳.png,
H,清心福全,123,Shop/清心福全_Logo.png,Shop/清心福全.png,
I,大苑子,123,Shop/大苑子_Logo.png,Shop/大苑子.png,
